"ReadCode"	"ConceptId"	"term"	"DescriptionId"
"03FJ"	"1052581000000109"	"Health visitor"	"2648971000000112"
"03FX"	"939111000000107"	"Student health visitor"	"2404281000000118"
"091"	"1100001000000107"	"Armed forces: non-commissioned"	"2754011000000119"
"091"	"720371000000100"	"Armed forces"	"1574721000000111"
"091Z"	"720371000000100"	"Armed forces"	"1574721000000111"
"0933"	"311671000000109"	"Special constable"	"562421000000116"
"0950"	"986471000000105"	"Active serving member of the Army"	"2508511000000111"
"0951"	"986491000000109"	"Active serving member of the Royal Air Force"	"2508551000000110"
"0952"	"986511000000101"	"Active serving member of the Royal Navy"	"2508591000000119"
"0953"	"986531000000109"	"Active serving member of the Royal Marines"	"2508631000000119"
"0Z7"	"933041000000109"	"Armed forces reservist"	"2390691000000115"
"0Z70"	"986551000000102"	"Active serving member of the Army Reserve"	"2508701000000118"
"0Z71"	"986571000000106"	"Active serving member of the Royal Air Force Reserve"	"2508741000000115"
"0Z72"	"986591000000105"	"Active serving member of the Royal Navy Reserve"	"2508781000000111"
"0Z73"	"987551000000100"	"Active serving member of the Royal Marines Reserve"	"2510711000000115"
"115K"	"494751000000102"	"No history of substance misuse"	"1065411000000115"
"115M"	"750691000000106"	"No known disability"	"1650811000000113"
"115N"	"764961000000105"	"No H/O: contraceptive usage"	"1703841000000118"
"115P"	"863821000000108"	"No H/O liver disease"	"2233541000000118"
"115Q"	"865371000000104"	"No history of epilepsy"	"2236931000000111"
"115R"	"872221000000109"	"No history of deep vein thrombosis"	"2253131000000116"
"115S"	"872291000000107"	"No H/O vaccine allergy"	"2253271000000114"
"115Y"	"887991000000105"	"No H/O exposure to occupational risk factor"	"2287581000000110"
"117"	"928731000000108"	"No change in medical history"	"2380241000000112"
"122B0"	"919701000000100"	"No FH of breast cancer meeting NICE CG164 referral criteria"	"2361061000000114"
"122B1"	"919701000000100"	"No FH of breast cancer meeting NICE CG164 referral criteria"	"2361061000000114"
"122E"	"759351000000104"	"No family history of hip fracture in first degree relative"	"1677001000000116"
"122F"	"758811000000100"	"No family history of bowel cancer"	"1673201000000117"
"122G"	"758821000000106"	"No family history of ovarian cancer"	"1673221000000114"
"122H"	"858671000000107"	"No FH of hypercholesterolaemia"	"2221781000000116"
"122J"	"876461000000101"	"No FH of epilepsy"	"2262571000000114"
"122K"	"877691000000107"	"No FH of lung cancer"	"2265211000000114"
"122L"	"878401000000104"	"No FH of prostate cancer"	"2266671000000114"
"122M"	"878421000000108"	"No FH of bladder cancer"	"2266711000000110"
"122N"	"878441000000101"	"No FH of squamous cell carcinoma of skin"	"2266751000000114"
"122P"	"878461000000100"	"No FH of non-Hodgkin lymphoma"	"2266791000000118"
"122Q"	"932441000000109"	"No family history of Parkinson's disease"	"2389211000000119"
"122R"	"966191000000101"	"No family history of coeliac disease"	"2460681000000112"
"122S"	"977651000000105"	"No family history of female genital mutilation"	"2486761000000113"
"125Z"	"570091000000103"	"FH: Endocrine disorder NOS"	"1266991000000119"
"126C"	"199071000000106"	"FH: Lactose intolerance"	"300601000000111"
"126D"	"821691000000104"	"Family history of medium chain acyl coenzyme A dehydrogenase deficiency"	"2168631000000114"
"126D"	"821691000000104"	"FH: MCADD (medium chain acyl coenzyme A dehydrogenase deficiency)"	"2139581000000110"
"1278"	"763241000000104"	"Family history of thrombophilia"	"1692511000000115"
"128Z"	"537231000000106"	"FH: Mental disorder NOS"	"1198791000000117"
"129C"	"335271000000100"	"Family history of subarachnoid haemorrhage"	"621391000000116"
"12b"	"902961000000107"	"Family history of FGM (female genital mutilation)"	"2322311000000110"
"12CQ"	"198301000000109"	"Family history of deep vein thrombosis"	"298761000000113"
"12CR"	"198381000000104"	"FH: Hypertrophic obstructive cardiomyopathy"	"298941000000114"
"12CS"	"199731000000107"	"FH: Anomalous coronary artery"	"302171000000114"
"12CY"	"858191000000103"	"FH: peripheral vascular disease"	"2220771000000111"
"12FD"	"959511000000100"	"Family history of end stage renal disease"	"2445791000000118"
"12J80"	"758841000000104"	"Family history of fragile X syndrome in first degree relative"	"1673261000000118"
"12K5"	"809201000000102"	"Mother hepatitis B positive"	"2112071000000118"
"12K6"	"1035381000000108"	"Maternal learning disability"	"2613611000000113"
"12K8"	"1038261000000100"	"Maternal postnatal depression"	"2620391000000111"
"12X"	"287351000000105"	"Family history of substance misuse"	"496591000000113"
"12X0"	"293161000000103"	"Family history of alcohol misuse"	"514821000000111"
