file,code,decision,category
24_Hour_BP_DMICP.tex,246W.,,Other
24_Hour_BP_DMICP.tex,246V.,,Other
24_Hour_BP_DMICP.tex,246Y.,,Other
24_Hour_BP_DMICP.tex,246X.,,Other
24_Hour_BP_DMICP.tex,246b.,,Other
24_Hour_BP_DMICP.tex,246a.,,Other
AJAX_Exposure_DMICP.tex,DMSRESEARCH,Investigate,Other
ARITC_PSMA_DMICP.tex,PCS15089AS1,Inactivate,Ignored
ARITC_PSMA_DMICP.tex,DMS977,DMSCreate,DMSCreate
ARITC_PSMA_DMICP.tex,4613.,,Other
ARITC_PSMA_DMICP.tex,EMISNQRE312,Inactivate,Ignored
ARITC_PSMA_DMICP.tex,4671.,,Other
ARITC_PSMA_DMICP.tex,4672.,,Other
ARITC_PSMA_DMICP.tex,4673.,,Other
ARITC_PSMA_DMICP.tex,4674.,,Other
ARITC_PSMA_DMICP.tex,4675.,,Other
ARITC_PSMA_DMICP.tex,4676.,,Other
ARITC_PSMA_DMICP.tex,4677.,,Other
ARITC_PSMA_DMICP.tex,4691.,,Other
ARITC_PSMA_DMICP.tex,4692.,,Other
ARITC_PSMA_DMICP.tex,4694.,,Other
ARITC_PSMA_DMICP.tex,4693.,,Other
ARITC_PSMA_DMICP.tex,4695.,,Other
ARITC_PSMA_DMICP.tex,4696.,,Other
ARITC_PSMA_DMICP.tex,4697.,,Other
ARITC_PSMA_DMICP.tex,4661.,,Other
ARITC_PSMA_DMICP.tex,4662.,,Other
ARITC_PSMA_DMICP.tex,4663.,,Other
ARITC_PSMA_DMICP.tex,4664.,,Other
ARITC_PSMA_DMICP.tex,4665.,,Other
ARITC_PSMA_DMICP.tex,4666.,,Other
ARITC_PSMA_DMICP.tex,4667.,,Other
ARITC_PSMA_DMICP.tex,1T...,,Other
ARITC_PSMA_DMICP.tex,136..,,Other
ARITC_PSMA_DMICP.tex,12...,,Other
ARITC_PSMA_DMICP.tex,122..,,Other
ARITC_PSMA_DMICP.tex,461Z.,,Other
ARITC_PSMA_DMICP.tex,134Z.,,Other
ARITC_PSMA_DMICP.tex,312K.,,Other
ARITC_PSMA_DMICP.tex,9N2U.,,Other
ARITC_PSMA_DMICP.tex,3395.,,Other
ARITC_PSMA_DMICP.tex,229..,,Other
ARITC_PSMA_DMICP.tex,7245.,,Other
ARITC_PSMA_DMICP.tex,339P.,,Other
ARITC_PSMA_DMICP.tex,22A..,,Other
ARITC_PSMA_DMICP.tex,22K..,,Other
ARITC_PSMA_DMICP.tex,DMS1002,DMSCreate,DMSCreate
ARITC_PSMA_DMICP.tex,NEGATION-745C0,NEGATION/QUERY,Ignored
ARITC_PSMA_DMICP.tex,22N0.,,Other
ARITC_PSMA_DMICP.tex,ZV782,,Other
ARITC_PSMA_DMICP.tex,3216.,,Other
ARITC_PSMA_DMICP.tex,32...,,Other
ARITC_PSMA_DMICP.tex,5882.,,Other
ARITC_PSMA_DMICP.tex,58530,,Other
ARITC_PSMA_DMICP.tex,5853.,,Other
ARITC_PSMA_DMICP.tex,2469.,,Other
ARITC_PSMA_DMICP.tex,246A.,,Other
ARITC_PSMA_DMICP.tex,242..,,Other
ARITC_PSMA_DMICP.tex,9NiV.,,Other
ARITC_PSMA_DMICP.tex,38VJ.,,Other
ARITC_PSMA_DMICP.tex,NEGATION-38VJ.,NEGATION/QUERY,Ignored
ARITC_PSMA_DMICP.tex,42hE.,,Other
ARITC_PSMA_DMICP.tex,NEGATION-38VJ,NEGATION/QUERY,Ignored
Acute_Acoustic_Trauma_Appendix_9_DMICP.tex,DMS9675,DMSCreate,DMSCreate
